ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
374959;0,12;PPH;18;0;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374942;0,28;PPH;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
374946;0,4;PPH;18;0;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405604;0,73;PRL;18;0;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405602;0,18;PRL;18;0;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
405603;0,73;PRL;18;0;005-15895;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
412180;0,5;MLG;16;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
412430;10,32;PPH;18;0;005-16147;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
412438;1,95;PPH;18;0;005-16147;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
420516;0,19;PTR;19;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420609;0,93;TR6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420597;0,28;EPE;4;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420596;0,09;PTR;19;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420675;0,3;EPE;4;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420428;0,22;PPH;18;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420429;2,29;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420590;1,43;LU6;16;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420605;0,28;LU6;16;0;005-16465;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
420604;0,51;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420611;1,22;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
420588;1,49;LU6;16;0;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
430853;18,08;BOP;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
9471070;182,34;BOP;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
430854;8,35;SPH;17;0;005-15698;44,4;195,8;59;27,3;47,8;10;3136,2;0;LIMON
377139;0,09;BOP;17;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377137;0,12;BOP;17;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377138;1,82;PPH;18;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9471171;0,58;SPH;17;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
369098;1,22;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369383;1,72;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369384;12,61;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369282;0,31;TTH;4;0;005-16774;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369195;1,38;BTH;1;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369194;0,4;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369368;0,1;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369187;0,71;BTH;1;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369277;0,51;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
9471196;0,64;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369101;0,05;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369272;0,62;TTH;4;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369273;1,64;PTR;19;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369292;0,16;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369293;16,13;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369175;0,1;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369100;1,65;BOP;17;0;005-16757;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
369186;0,48;BOP;17;0;005-16757;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
369190;1;PTR;19;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369191;0,61;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369181;1,19;PTR;19;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369180;2,4;PTR;19;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369285;1,07;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369284;1,11;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369179;1,35;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369178;0,15;TTH;4;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369391;1,24;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369174;0,63;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369390;1,13;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369192;2,86;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369374;0,47;TTH;4;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369373;0,96;BOP;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369289;3,1;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369288;0,16;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369287;3,05;PTR;19;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9471232;1,05;BTP;1;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
379142;2,17;EPE;4;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379156;0,13;SPH;17;0;005-16913;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
379233;2,47;PTR;19;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
379232;0,09;PRL;18;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
369275;3,56;BOP;17;0;005-16757;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
369376;0,96;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369295;0,12;SPH;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369296;3,77;BOP;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369370;0,91;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
369375;0,23;SPH;17;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379234;0,99;SPH;17;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
379235;0,83;PPR;8;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
379146;0,61;PPH;18;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417434;0,79;PPH;18;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
377163;0,71;SA6;16;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
9471238;0,13;SPH;17;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
377350;0,28;BTP;1;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
376895;1,14;PRL;18;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417441;2,75;BTH;1;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
377355;1,12;PTR;19;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
9471241;0,14;SA6;16;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
417442;0,57;SPH;17;0;005-16913;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
379229;0,19;PTR;19;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
379240;3,72;MLG;16;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377341;0,18;SPH;17;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377340;0,74;SA6;16;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379243;0,84;SA6;16;0;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379151;1,96;TR6;16;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
377427;0,46;SPH;17;0;005-16913;60,4;238,5;60,7;9,6;38,3;52,1;26587,8;1;SABLE
433040;0,42;LUZ;16;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
432383;0,22;LUZ;16;0;005-15698;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
409335;0,24;ORP;3;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
410232;0,74;BTH;1;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9471605;0,67;BTH;1;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9471606;0,2;AVP;4;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9471607;0,95;SPH;17;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9471608;1,01;AVP;4;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
410224;1,38;BTH;1;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9471626;0,36;ORP;3;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9471627;1,37;BTH;1;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
371376;0,22;PRL;18;0;005-15733;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376470;0,12;SPH;17;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376471;0,34;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
9472498;1,01;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376462;1,09;VRG;20;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376565;1,93;LUZ;16;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376558;0,45;LU6;16;0;005-16269;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472584;0,72;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376542;0,16;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376545;1,51;BTP;1;0;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376474;2,39;LU6;16;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376559;0,59;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376480;0,49;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376647;0,31;SPH;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376567;0,27;SPH;17;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376566;6,89;SPH;17;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
9472695;0,73;PRL;18;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472698;0,23;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376637;3,8;LU5;16;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376638;0,91;SPH;17;0;005-15476;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376543;1,56;ORH;3;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376643;0,54;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376644;0,08;PRL;18;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376541;1,1;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9472703;0,56;PRL;18;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376551;0,53;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376548;0,98;PRL;18;0;005-16757;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376469;0,5;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
376547;1,19;ORH;3;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376459;0,04;PRL;18;0;005-15476;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE
404031;1,06;MLG;16;0;005-16502;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
410626;2,3;BTH;1;0;005-15365;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
9474717;0,1;SNE;28;0;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
435456;11,97;SNE;28;0;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
410037;0,29;SNE;28;0;005-16502;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
9475054;0,26;BTA;28;0;005-15820;114,8;576,9;168;31,2;53,1;15,7;6253,6;0;LIMON
